zone_id,gid,tract,area,acres
987,18,401800.0,301361.375,6.91800022125
965,19,401900.0,4427061.5,101.630996704
966,20,402000.0,1128148.75,25.8990001678
985,21,402100.0,274269.90625,6.29600000381
986,22,402200.0,273035.875,6.26800012589
980,27,402700.0,369430.53125,8.48099994659
970,28,402800.0,378970.0,8.69999980927
945,34,403400.0,1243481.25,28.545999527
972,35,403500.0,834269.9375,19.1520004272
941,36,403600.0,385166.46875,8.84200000763
942,37,403700.0,368948.78125,8.47000026703
939,38,403800.0,687975.5,15.7939996719
940,39,403900.0,506200.9375,11.6210002899
973,40,404000.0,367039.65625,8.42599964142
974,41,404100.0,801987.125,18.4109992981
935,56,405500.0,419253.03125,9.625
916,42,404200.0,2737284.5,62.8390007019
915,43,404300.0,1852341.0,42.5239982605
914,44,404400.0,4087290.5,93.8310012817
919,45,404501.0,1110655.625,25.4969997406
913,46,404502.0,3099407.5,71.1529998779
912,47,404600.0,4958116.0,113.822998047
934,55,405400.0,683013.5,15.6800003052
920,48,404700.0,1245811.0,28.6000003815
921,49,404800.0,617620.8125,14.1789999008
922,50,404900.0,1050726.0,24.1210002899
937,51,405000.0,845713.75,19.4150009155
88,610,16600.0,343516.8125,7.8860001564
1016,132,423100.0,745442.875,17.1130008698
938,52,405100.0,1235959.125,28.3740005493
943,53,405200.0,955652.625,21.938999176
944,54,405300.0,413640.5,9.49600028992
936,57,405600.0,424532.75,9.74600028992
947,61,406000.0,2165358.0,49.7099990845
926,62,406100.0,1866277.375,42.84400177
928,63,406201.0,402638.53125,9.24300003052
927,64,406202.0,392056.09375,9.0
929,65,406300.0,475994.96875,10.9270000458
930,66,406400.0,559437.875,12.843000412
924,67,406500.0,739455.0,16.9759998322
585,966,503401.0,756636.25,17.3700008392
1003,142,423902.0,336764.65625,7.73099994659
923,68,406600.0,1164153.0,26.7250003815
910,69,406700.0,1685884.375,38.702999115
904,78,407600.0,1056348.625,24.25
1020,126,422500.0,469047.59375,10.767999649
909,70,406800.0,952721.875,21.8710002899
908,71,406900.0,881973.0625,20.2469997406
906,72,407000.0,859784.625,19.7380008698
905,73,407100.0,1034615.5625,23.7520008087
894,91,408900.0,812742.1875,18.658000946
925,74,407200.0,700274.6875,16.0760002136
1039,108,420300.0,1222303.625,28.0599994659
879,105,410400.0,702057.1875,16.1170005798
896,75,407300.0,2352050.75,53.9959983826
897,76,407400.0,516028.6875,11.8459997177
898,77,407500.0,505680.71875,11.609000206
903,79,407700.0,923130.625,21.1919994354
902,80,407800.0,1198945.5,27.5240001678
907,81,407900.0,1224424.5,28.1089992523
911,82,408000.0,1872276.25,42.9819984436
901,84,408200.0,898126.4375,20.6180000305
886,85,408300.0,1520408.5,34.9039993286
889,86,408400.0,526438.8125,12.0850000381
890,87,408500.0,853256.0625,19.5879993439
900,88,408600.0,1085891.625,24.9290008545
899,89,408700.0,1137935.375,26.1229991913
895,90,408800.0,1195812.0,27.4519996643
876,92,409100.0,489479.4375,11.2370004654
1021,125,422400.0,466753.9375,10.7150001526
1027,118,421700.0,583460.5,13.3940000534
877,93,409200.0,678653.9375,15.5799999237
878,94,409300.0,1072681.875,24.625
892,95,409400.0,1264943.25,29.0389995575
1008,129,422800.0,415415.0,9.53699970245
893,96,409500.0,853756.75,19.6000003815
891,97,409600.0,752794.0,17.281999588
888,98,409700.0,802319.9375,18.4190006256
887,99,409800.0,1765517.25,40.53099823
884,100,409900.0,4751818.5,109.086997986
17,1388,,615799.1875,14.1370000839
883,101,410000.0,6987854.0,160.419006348
882,102,410100.0,804938.4375,18.4790000916
1018,130,422900.0,540562.25,12.4099998474
1022,124,422300.0,549891.875,12.6239995956
881,103,410200.0,617340.0625,14.1719999313
880,104,410300.0,573649.75,13.1689996719
1031,113,421200.0,1318558.0,30.2700004578
1033,114,421300.0,1058426.5,24.2980003357
1032,115,421400.0,465401.21875,10.6840000153
1011,136,423500.0,618238.25,14.1929998398
1029,116,421500.0,1591532.625,36.5369987488
1002,141,423901.0,375134.59375,8.61200046539
1028,117,421600.0,1452365.5,33.341999054
1026,119,421800.0,538000.375,12.3509998322
1017,131,423000.0,708909.375,16.2740001678
1025,120,421900.0,851772.6875,19.5540008545
1010,137,423601.0,519121.28125,11.9169998169
1009,138,423602.0,398799.40625,9.15499973297
1014,121,422000.0,4557519.5,104.625999451
1024,122,422100.0,548505.4375,12.5920000076
1023,123,422200.0,676002.9375,15.5190000534
1019,127,422600.0,1762937.25,40.4710006714
1007,128,422700.0,380162.28125,8.72700023651
15,1386,,115178.828125,2.64400005341
1015,133,423200.0,460479.875,10.5710000992
1013,134,423300.0,711623.3125,16.3369998932
1012,135,423400.0,738010.5,16.9419994354
1006,139,423700.0,803859.25,18.454000473
1004,140,423800.0,1054569.25,24.2099990845
995,143,424001.0,494574.0625,11.3540000916
991,145,425100.0,3154722.25,72.4219970703
918,146,426100.0,2951241.5,67.7509994507
917,147,426200.0,1417380.0,32.5390014648
949,148,427100.0,981479.0,22.531999588
117,642,22803.0,284482.875,6.53100013733
948,149,427200.0,1350872.25,31.0119991302
960,150,427300.0,2008891.25,46.1180000305
961,151,427400.0,1834381.75,42.1119995117
964,152,427500.0,6623640.0,152.057998657
962,153,427600.0,586052.25,13.454000473
963,154,427700.0,1013348.9375,23.2630004883
959,155,427800.0,842347.375,19.3379993439
956,156,427900.0,885520.9375,20.329000473
18,1389,,433781.15625,9.95800018311
950,158,428100.0,991149.0625,22.7539997101
