parcel,zoning
110896,20495
86987,20495
106814,20629
106929,20540
106629,20632
106632,20632
107058,20632
107254,20521
98241,20495
98257,20495
98313,20495
106898,20277
139848,20482
140062,20241
140126,20117
138228,20256
140522,20481
38867,20502
38992,20502
140405,20645
140751,20593
140458,20226
139638,20643
140379,20643
126165,20246
141491,20540
147591,20563
90240,20521
141670,20540
141786,20540
147287,20290
147115,20579
140776,20236
107562,20521
107613,20540
107629,20540
94801,20495
86710,20521
94831,20495
111029,20495
98356,20495
98378,20495
142091,20293
114085,20540
114140,20540
78408,20502
79780,20515
114400,20540
142396,20540
148174,20540
90180,20495
142275,20521
140181,20115
108588,20246
98432,20495
55238,20495
147950,20521
103061,20495
138600,20224
148188,20465
148224,20139
148237,20593
148492,20593
147771,20563
111235,20495
111643,20563
132839,20521
107082,20495
107086,20495
94905,20495
147935,20104
111401,20495
111472,20495
98737,20495
90360,20495
148418,20615
87231,20495
87259,20495
148751,20107
142181,20567
133226,20521
142553,20567
133309,20521
133412,20521
133664,20521
95050,20495
134834,20521
111475,20495
111491,20495
133595,20521
87281,20495
133816,20521
133900,20521
90471,20495
90703,20521
134482,20521
86800,20256
111726,20495
103403,20495
103420,20495
103436,20495
132854,20495
133154,20495
99017,20521
134588,20521
134631,20521
134687,20521
134868,20521
134941,20521
135105,20521
90279,20434
135151,20521
148958,20593
149116,20291
95111,20495
86999,20502
98974,20495
55116,20505
55334,20505
27050,20495
55440,20495
55456,20495
150209,20467
149440,20545
133262,20495
91184,20521
150806,20540
133343,20495
103524,20495
103537,20495
103768,20521
107937,20521
148652,20145
150685,20646
107709,20540
80646,20433
130803,20267
8848,20502
107428,20277
107687,20277
86911,20434
87795,20502
16800,20502
75530,20522
133909,20256
135123,20246
145673,20512
87133,20246
87873,20540
87773,20521
86353,20563
99131,20495
115048,20540
114550,20591
115352,20521
151412,20540
114925,20495
103602,20495
151343,20521
115572,20521
115836,20540
99178,20495
99195,20495
99230,20495
99242,20495
115699,20563
16860,20504
149786,20470
103896,20521
14732,20246
103113,20498
102923,20502
151610,20579
151546,20563
103690,20495
151756,20540
27298,20563
41974,20245
115004,20495
115522,20591
152033,20256
115161,20495
115214,20495
114438,20502
78543,20314
24232,20260
103826,20495
91096,20495
95458,20495
152239,20521
91319,20495
107952,20495
27286,20497
134548,20495
134898,20495
152597,20540
113794,20543
101988,20269
149471,20175
152183,20563
153214,20646
152886,20197
153157,20651
97373,20563
115418,20495
98185,20563
151325,20495
150779,20487
41955,20520
43516,20504
95603,20495
43852,20502
55695,20521
91415,20495
104032,20495
55666,20495
55669,20495
27280,20256
21582,20258
55725,20495
52998,20341
26828,20499
151593,20495
27206,20495
27798,20497
21127,20509
37726,20310
37761,20310
91405,20502
99567,20495
99590,20495
152685,20495
95740,20495
152774,20495
55824,20495
95846,20495
91635,20495
91665,20495
95961,20495
56050,20495
27827,20495
99993,20495
91881,20495
91974,20495
48965,20521
48376,20495
48503,20495
48628,20495
48728,20495
48836,20495
49089,20495
49167,20495
49999,20505
49512,20521
49618,20495
49716,20495
50399,20495
50438,20495
50444,20495
50695,20495
50730,20495
51013,20505
39444,20310
51785,20505
91517,20509
49898,20618
91897,20563
48152,20563
51915,20505
51644,20522
49706,20491
51171,20495
51427,20495
154502,6712
4200,20495
4279,20495
144,20540
1510,20540
4022,20521
24,20521
4432,20521
36176,20505
44094,20518
905,20521
982,20540
1141,20540
1268,20521
1800,20540
2119,20521
2610,20521
2676,20521
2687,20521
5333,20495
15937,20495
36450,20505
19953,20495
16078,20495
16096,20495
12108,20495
4955,20563
23982,20495
40349,20505
40402,20505
24090,20495
36067,20502
36622,20505
44395,20505
44396,20505
44671,20505
44704,20505
20244,20495
16306,20495
20284,20495
3218,20505
3306,20521
52261,20521
52428,20505
52403,20521
52413,20521
2594,20495
44240,20495
12212,20495
12216,20495
48114,20495
48130,20495
60125,20495
12352,20495
3358,20521
3469,20521
5655,20495
3599,20521
3622,20521
3623,20521
3718,20521
16620,20521
36023,20563
37004,20505
37198,20502
36360,20495
36366,20495
36369,20495
40584,20505
20246,20505
60200,20495
56198,20495
8393,20495
4674,20289
36870,20495
44466,20495
32132,20495
32215,20283
16692,20521
3207,20495
52376,20495
60258,20495
37743,20521
37999,20505
8427,20495
12468,20495
12484,20495
12493,20495
12501,20495
16729,20495
52764,20495
52768,20495
60343,20495
64495,20521
64498,20540
38071,20505
38090,20505
20638,20495
56416,20495
56433,20495
24278,20495
24293,20495
16792,20495
16843,20495
60421,20495
66040,20632
65087,20521
65089,20521
65400,20563
65679,20631
65185,20623
65140,20521
65642,20521
65666,20521
65976,20521
66094,20540
8938,20521
37756,20495
9027,20521
9119,20521
9129,20521
52942,20495
60553,20495
8622,20495
8704,20495
64458,20495
64544,20495
20810,20495
20828,20495
12659,20495
6239,20495
60694,20495
41303,20495
41305,20495
53136,20495
8958,20495
8981,20495
20928,20495
41347,20495
65779,20631
66269,20540
12735,20495
41383,20495
41386,20495
41409,20495
64877,20495
17213,20495
61013,20505
9054,20495
9187,20495
32423,20521
20760,20505
20999,20495
56699,20495
66384,20540
21070,20495
21349,20505
66115,20563
6596,20495
21171,20495
9449,20521
17364,20495
32281,20509
32288,20509
17652,20505
32754,20521
32864,20521
32996,20505
33001,20505
32000,20540
32983,20521
33021,20521
33670,20521
21722,20505
7047,20521
21334,20495
38227,20505
24701,20495
65242,20349
33647,20540
67620,20623
41588,20495
67602,20521
7153,20521
6847,20289
6978,20289
7391,20521
13290,20495
34269,20505
9558,20521
21777,20521
32497,20495
41175,20505
28638,20495
28651,20495
28670,20495
33991,20540
34415,20540
34474,20521
41830,20495
9837,20521
7320,20289
7497,20511
9379,20495
7683,20527
9457,20503
24758,20495
13366,20495
22081,20505
1402,20380
67276,20348
72032,20521
66704,20365
13584,20495
21822,20495
21826,20495
42190,20504
42260,20504
42373,20505
42394,20505
13441,20495
7861,20535
6944,20256
61102,20495
67641,20495
68192,20521
35372,20505
35482,20505
35577,20505
13513,20495
67900,20543
29106,20495
22165,20505
22166,20505
17851,20495
17915,20495
9635,20495
9721,20495
9733,20495
21983,20495
22283,20505
22289,20505
60465,20517
24547,20505
57330,20495
69396,20540
29291,20495
40252,20502
38420,20505
38423,20505
38624,20505
38635,20505
38695,20505
67812,20495
57424,20495
42358,20495
18195,20495
68627,20630
68659,20540
68708,20540
68598,20632
68810,20632
67588,20371
68491,20563
68493,20563
22200,20495
61689,20505
45062,20495
14187,20495
14239,20495
42697,20505
35813,20502
34626,20579
76232,20573
73086,20521
76730,20540
76538,20521
76775,20521
76946,20521
22025,20521
68913,20541
69427,20424
68983,20521
69605,20334
71994,20500
69647,20563
69847,20563
69925,20521
70134,20521
74387,20563
70208,20521
73035,20521
70311,20540
74075,20423
73613,20521
73695,20666
73882,20430
73153,20521
73254,20521
73870,20671
73722,20521
74618,20521
74670,20521
74836,20521
61648,20495
72614,20495
75287,20256
24826,20495
75304,20535
62012,20505
75639,20521
75706,20521
75714,20521
14321,20495
70519,20540
62072,20505
75352,20573
70864,20521
71234,20540
71363,20540
53482,20495
38741,20505
38807,20505
62131,20256
62253,20505
77155,20521
68526,20495
77491,20388
77506,20521
77892,20521
14530,20495
14584,20495
80107,20535
25019,20495
29538,20495
13948,20505
14752,20505
29570,20521
29771,20521
29614,20505
25098,20495
18624,20495
14695,20495
14765,20495
29956,20505
43047,20505
38929,20495
39267,20505
39305,20505
80023,20495
80118,20495
22960,20497
29970,20505
39655,20505
80169,20495
62413,20495
14908,20495
78049,20521
45141,20495
14981,20495
14993,20495
22931,20256
58037,20495
15323,20495
62558,20495
15247,20495
15266,20495
62305,20505
83977,20521
43138,20505
80396,20495
