id,name,max_height,city,max_far,coverage,type1,type2,type3,type4,type5,type6,type7,type8,type9,type10,type11,type12,type13,type14
101206,"RESIDENTIAL- MIXED, MEDIUM DENSITY-80-B",80.0,101,7.5,,f,f,t,t,t,t,f,f,f,t,f,t,t,t
101207,"RESIDENTIAL- MIXED, MEDIUM DENSITY-80-D",80.0,101,7.5,,f,f,t,t,t,t,f,f,f,t,f,t,t,t
101208,"RESIDENTIAL- MIXED, MEDIUM DENSITY-OS",0.0,101,7.5,,f,f,t,t,t,t,f,f,f,t,f,t,t,t
101209,"RESIDENTIAL- MIXED, HIGH DENSITY-105-D",105.0,101,7.5,,f,f,t,t,t,t,f,f,f,t,f,t,t,t
101210,"RESIDENTIAL- MIXED, HIGH DENSITY-130-E",130.0,101,7.5,,f,f,t,t,t,t,f,f,f,t,f,t,t,t
101211,"RESIDENTIAL- MIXED, HIGH DENSITY-130-V",130.0,101,7.5,,f,f,t,t,t,t,f,f,f,t,f,t,t,t
101212,"RESIDENTIAL- MIXED, HIGH DENSITY-160-A",160.0,101,7.5,,f,f,t,t,t,t,f,f,f,t,f,t,t,t
101213,"RESIDENTIAL- MIXED, HIGH DENSITY-240-E",240.0,101,7.5,,f,f,t,t,t,t,f,f,f,t,f,t,t,t
101214,"RESIDENTIAL- MIXED, HIGH DENSITY-240-G",240.0,101,7.5,,f,f,t,t,t,t,f,f,f,t,f,t,t,t
101215,"RESIDENTIAL- MIXED, HIGH DENSITY-300-E-2",300.0,101,7.5,,f,f,t,t,t,t,f,f,f,t,f,t,t,t
107520,HZ-9-FS5,85.0,101,5.0,1.0,f,f,t,t,t,t,f,f,f,t,f,t,t,t
107521,"RESIDENTIAL- HOUSE, ONE FAMILY- DETACHED-OS",0.0,101,5.0,,f,f,t,t,t,t,f,f,f,t,f,t,t,t
101216,"RESIDENTIAL- MIXED, HIGH DENSITY-320-E",320.0,101,7.5,,f,f,t,t,t,t,f,f,f,t,f,t,t,t
101217,"RESIDENTIAL- MIXED, HIGH DENSITY-40-X",40.0,101,7.5,,f,f,t,t,t,t,f,f,f,t,f,t,t,t
